1549516252.103871,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.000000,0.000000,0.000000,0.000000,0.000000:0.500000,0.500000,0.500000,0.500000,0.500000,0.500000:pos_vel_
1549516265.370463,cobot_dynamixel_driver/goal|-:J2:0.000000:eff_
1549516265.461366,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516265.661359,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516265.878253,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516266.177330,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516266.474174,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516266.664085,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516266.881078,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516267.259227,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516267.556835,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516267.772763,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516267.961720,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516268.178991,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516268.367699,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516268.583605,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516268.773799,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516269.071437,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516269.262398,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516269.478583,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516269.667367,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516269.883246,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516270.072488,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516270.261313,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516270.774080,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516270.964011,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516271.181171,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516271.370813,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516271.586805,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516271.776740,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516272.073704,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516272.372869,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516272.589527,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516272.888683,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516273.079410,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516273.268417,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516273.486655,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516273.677288,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516273.894411,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516274.083093,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516274.380184,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516274.570400,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516274.786957,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516274.976943,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516275.192843,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516275.382828,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516275.572069,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516275.978003,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.194656,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.493548,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.682502,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516276.899564,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.089389,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.279332,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.496791,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.686599,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516277.985121,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.201142,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.390090,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.581430,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.797080,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516278.987010,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.202939,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.499887,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.688789,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516279.905782,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.096721,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.285676,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.501945,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516280.691519,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.096881,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.393443,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.583417,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.799312,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516281.989288,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.395187,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.585106,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516282.991064,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
1549516283.207017,cobot_dynamixel_driver/goal|-:J1,J2,J3,J4,J5,J6:0.000000,0.523599,0.000000,0.000000,0.000000,0.000000:0.005000,0.005000,0.005000,0.005000,0.005000,0.005000:pos_vel_
